category,pos_statement,neg_statement,layer,cosine,angle,pos_mag,neg_mag
directional,The temperature is increasing.,The temperature is decreasing.,0,0.817092223083624,35.205235435381006,0.0433,0.04272
directional,The temperature is increasing.,The temperature is decreasing.,1,0.8608987764715603,30.582352275937954,0.10846,0.1091
directional,The temperature is increasing.,The temperature is decreasing.,2,0.8849303544256084,27.757048089147965,0.1589,0.1611
directional,The temperature is increasing.,The temperature is decreasing.,3,0.895008178467128,26.490519682891954,0.2417,0.2458
directional,The temperature is increasing.,The temperature is decreasing.,4,0.9084659207585282,24.705793393475734,0.3613,0.3662
directional,The temperature is increasing.,The temperature is decreasing.,5,0.9220080193570976,22.778571168927957,0.4934,0.5127
directional,The temperature is increasing.,The temperature is decreasing.,6,0.9378012626495731,20.314473919935065,0.6323,0.6567
directional,The temperature is increasing.,The temperature is decreasing.,7,0.9655310559390216,15.08714455353516,0.968,0.997
directional,The temperature is increasing.,The temperature is decreasing.,8,0.9647041224780843,15.268113150792392,1.3545,1.382
directional,The temperature is increasing.,The temperature is decreasing.,9,0.965601300521232,15.071674241511023,1.572,1.594
directional,The temperature is increasing.,The temperature is decreasing.,10,0.9693566839255165,14.22069470010373,1.867,1.876
directional,The temperature is increasing.,The temperature is decreasing.,11,0.9716236507672341,13.681957895975286,2.312,2.295
directional,The temperature is increasing.,The temperature is decreasing.,12,0.9681763532134156,14.49342803273866,2.541,2.525
directional,The temperature is increasing.,The temperature is decreasing.,13,0.9714237785431153,13.730289707047108,3.045,3.002
directional,The temperature is increasing.,The temperature is decreasing.,14,0.962843391822771,15.667859180010696,3.363,3.328
directional,The temperature is increasing.,The temperature is decreasing.,15,0.9436350079490191,19.328746295144228,4.188,4.203
directional,The temperature is increasing.,The temperature is decreasing.,16,0.9303153985780873,21.515966674507183,5.51,5.46
directional,The temperature is increasing.,The temperature is decreasing.,17,0.9203039985843993,23.02943501558232,6.496,6.39
directional,The temperature is increasing.,The temperature is decreasing.,18,0.9022831962008175,25.540174724230816,8.09,8.03
directional,The temperature is increasing.,The temperature is decreasing.,19,0.8800381382707877,28.35303563822166,8.89,8.805
directional,The temperature is increasing.,The temperature is decreasing.,20,0.8667218351179118,29.92009832353332,10.07,9.914
directional,The temperature is increasing.,The temperature is decreasing.,21,0.8436067598681284,32.47703242430671,10.59,10.53
directional,The temperature is increasing.,The temperature is decreasing.,22,0.8390211165417427,32.96310415107293,10.93,10.89
directional,The temperature is increasing.,The temperature is decreasing.,23,0.8385340314008236,33.01436081140062,11.65,11.516
directional,The temperature is increasing.,The temperature is decreasing.,24,0.8338939591661445,33.49915529012612,12.234,12.06
directional,The temperature is increasing.,The temperature is decreasing.,25,0.8155699623068209,35.356242490717406,12.99,12.8
directional,The temperature is increasing.,The temperature is decreasing.,26,0.8173439997565676,35.18020502105059,13.97,13.78
directional,The temperature is increasing.,The temperature is decreasing.,27,0.8117611464808446,35.731641197743365,14.95,14.67
directional,The temperature is increasing.,The temperature is decreasing.,28,0.811235626715999,35.783168247200884,16.9,16.7
directional,The temperature is increasing.,The temperature is decreasing.,29,0.80697548644527,36.198527886303985,19.0,18.66
directional,The temperature is increasing.,The temperature is decreasing.,30,0.800696970915844,36.80329018933708,21.08,20.69
directional,The temperature is increasing.,The temperature is decreasing.,31,0.7855066801507788,38.23243570825107,25.62,24.73
directional,The object is moving upward.,The object is moving downward.,0,0.797135299219585,37.14259220588299,0.0452,0.04657
directional,The object is moving upward.,The object is moving downward.,1,0.8421655686247264,32.63049018690856,0.09875,0.10046
directional,The object is moving upward.,The object is moving downward.,2,0.8807899188792945,28.26220185386026,0.1569,0.1608
directional,The object is moving upward.,The object is moving downward.,3,0.8734264564476716,29.14070921429314,0.2496,0.2517
directional,The object is moving upward.,The object is moving downward.,4,0.8937033190832963,26.657642074005814,0.3806,0.3784
directional,The object is moving upward.,The object is moving downward.,5,0.9150559962981628,23.78631948384503,0.5317,0.5327
directional,The object is moving upward.,The object is moving downward.,6,0.9288857884372703,21.738209377188234,0.6875,0.6797
directional,The object is moving upward.,The object is moving downward.,7,0.9687963022072204,14.350812088705736,1.047,1.049
directional,The object is moving upward.,The object is moving downward.,8,0.9773927051447875,12.206285599040152,1.379,1.383
directional,The object is moving upward.,The object is moving downward.,9,0.9815068754813849,11.03606745878597,1.704,1.692
directional,The object is moving upward.,The object is moving downward.,10,0.9842728905006926,10.174964832756158,1.969,1.958
directional,The object is moving upward.,The object is moving downward.,11,0.9871651503681165,9.189642748955603,2.37,2.346
directional,The object is moving upward.,The object is moving downward.,12,0.9870615227928309,9.226746454174314,2.547,2.527
directional,The object is moving upward.,The object is moving downward.,13,0.9869206513825588,9.27694933239179,3.01,3.006
directional,The object is moving upward.,The object is moving downward.,14,0.981894425148417,10.919461915445828,3.418,3.418
directional,The object is moving upward.,The object is moving downward.,15,0.9744311474628751,12.984432879161652,4.285,4.27
directional,The object is moving upward.,The object is moving downward.,16,0.9654159989396632,15.112450706010325,5.465,5.438
directional,The object is moving upward.,The object is moving downward.,17,0.96650716594379,14.870762501998636,6.45,6.49
directional,The object is moving upward.,The object is moving downward.,18,0.9645019880004696,15.312031213012517,7.863,7.816
directional,The object is moving upward.,The object is moving downward.,19,0.9644293354896128,15.327786523983734,8.75,8.734
directional,The object is moving upward.,The object is moving downward.,20,0.9635386702345627,15.519666055869239,9.82,9.85
directional,The object is moving upward.,The object is moving downward.,21,0.9626212459065846,15.714920566743332,10.28,10.3
directional,The object is moving upward.,The object is moving downward.,22,0.9615800632568527,15.933688253463101,10.98,10.92
directional,The object is moving upward.,The object is moving downward.,23,0.9621008593033485,15.82462978222269,11.67,11.59
directional,The object is moving upward.,The object is moving downward.,24,0.9601744587425941,16.22446738768309,12.25,12.1
directional,The object is moving upward.,The object is moving downward.,25,0.9567394635767532,16.91460260842226,13.23,12.984
directional,The object is moving upward.,The object is moving downward.,26,0.9561612683522358,17.028096586468997,14.32,14.09
directional,The object is moving upward.,The object is moving downward.,27,0.955517634432163,17.153578336288305,15.234,14.93
